"filename", "language", "SCSS", "TypeScript", "HTML", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\demo\images\notfound\logo-blue.svg", "XML", 0, 0, 0, 0, -9, 0, 0, -1, -10
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\demo\images\product\product-placeholder.svg", "XML", 0, 0, 0, 0, -10, 0, 0, 0, -10
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\demo\styles\badges.scss", "SCSS", -68, 0, 0, 0, 0, 0, 0, -14, -82
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\demo\styles\code.css", "CSS", 0, 0, 0, -14, 0, 0, 0, -1, -15
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\demo\styles\code.scss", "SCSS", -14, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\demo\styles\flags\flags.css", "CSS", 0, 0, 0, -1, 0, 0, 0, -1, -2
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\logo-dark.svg", "XML", 0, 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\logo-white.svg", "XML", 0, 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\themes\bootstrap4-dark-blue.svg", "XML", 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\themes\bootstrap4-dark-purple.svg", "XML", 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\themes\bootstrap4-light-blue.svg", "XML", 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\themes\bootstrap4-light-purple.svg", "XML", 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\themes\md-dark-deeppurple.svg", "XML", 0, 0, 0, 0, -9, 0, 0, 0, -9
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\themes\md-dark-indigo.svg", "XML", 0, 0, 0, 0, -9, 0, 0, 0, -9
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\themes\md-light-deeppurple.svg", "XML", 0, 0, 0, 0, -9, 0, 0, 0, -9
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\images\themes\md-light-indigo.svg", "XML", 0, 0, 0, 0, -9, 0, 0, 0, -9
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_config.scss", "SCSS", -39, 0, 0, 0, 0, 0, 0, -4, -43
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_content.scss", "SCSS", -11, 0, 0, 0, 0, 0, 0, -2, -13
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_footer.scss", "SCSS", -8, 0, 0, 0, 0, 0, 0, -1, -9
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_main.scss", "SCSS", -24, 0, 0, 0, 0, 0, 0, -4, -28
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_menu.scss", "SCSS", -115, 0, 0, 0, 0, 0, 0, -20, -135
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_mixins.scss", "SCSS", -12, 0, 0, 0, 0, 0, 0, -2, -14
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_preloading.scss", "SCSS", -44, 0, 0, 0, 0, 0, 0, -4, -48
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_responsive.scss", "SCSS", -86, 0, 0, 0, 0, 0, 0, -15, -101
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_topbar.scss", "SCSS", -127, 0, 0, 0, 0, 0, 0, -23, -150
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_typography.scss", "SCSS", -51, 0, 0, 0, 0, 0, 0, -13, -64
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_utils.scss", "SCSS", -18, 0, 0, 0, 0, 0, 0, -2, -20
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\_variables.scss", "SCSS", -3, 0, 0, 0, 0, 0, -1, -1, -5
