"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.component.html", "HTML", 0, 0, 18, 0, 0, 18
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.component.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.module.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\auth-routing.module.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\auth.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.component.html", "HTML", 0, 0, 18, 0, 0, 18
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.component.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.module.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.component.html", "HTML", 0, 0, 28, 0, 4, 32
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.component.ts", "TypeScript", 19, 0, 0, 0, 5, 24
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.module.ts", "TypeScript", 22, 0, 0, 0, 2, 24
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.component.html", "HTML", 0, 0, 232, 0, 8, 240
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.component.ts", "TypeScript", 90, 0, 0, 0, 14, 104
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.module.ts", "TypeScript", 26, 0, 0, 0, 2, 28
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.html", "HTML", 0, 0, 90, 0, 29, 119
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.scss", "SCSS", 0, 15, 0, 0, 1, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.module.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.component.html", "HTML", 0, 0, 335, 0, 27, 362
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.component.ts", "TypeScript", 10, 0, 0, 0, 4, 14
